# HGNC gene id	# source ID
PPP1CA	HGNC
IGHD3-10	HGNC
IGHJ6	HGNC
IGHV5-51	HGNC
IGKJ2	HGNC
IGKV4-1	HGNC
LEP	HGNC
XRN1	HGNC
TAF10	HGNC
NUP133	HGNC
BACE1	HGNC
LSM1	HGNC
RNMT	HGNC
RNGTT	HGNC
ACTG1	HGNC
DCPS	HGNC
DCP2	HGNC
H6PD	HGNC
METTL1	HGNC
MTTER	HGNC
OLIG2	HGNC
RNH1	HGNC
TPI1	HGNC
EIF4A1	HGNC
EIF4B	HGNC
PRDX2	HGNC
PRAME	HGNC
BUB3	HGNC
DSN1	HGNC
NDC80	HGNC
CENPC	HGNC
DCTN1	HGNC
INCENP	HGNC
KNL1	HGNC
PLK1	HGNC
SPDL1	HGNC
ZW10	HGNC
CNGB3	HGNC
NCALD	HGNC
UNG	HGNC
APOBEC1	HGNC
APOBEC3A	HGNC
UCN	HGNC
CCL7	HGNC
CCR7	HGNC
CX3CR1	HGNC
CD74	HGNC
TOP2A	HGNC
ARHGAP42	HGNC
CSF1R	HGNC
CCNA2	HGNC
CCNB2	HGNC
IL7R	HGNC
MKI67	HGNC
NKG7	HGNC
NFKB1	HGNC
P2RY12	HGNC
TMEM119	HGNC
TREM2	HGNC
SP1	HGNC
MIP	HGNC
MDM2	HGNC
DUX4	HGNC
FGF2	HGNC
ITGA7	HGNC
PAX3	HGNC
PAX7	HGNC
PDGFRA	HGNC
SMCHD1	HGNC
TRIM24	HGNC
TXLNA	HGNC
CASD1	HGNC
CD22	HGNC
CD44	HGNC
CD93	HGNC
FCGR2A	HGNC
FCGR2B	HGNC
CR2	HGNC
DMBT1	HGNC
GYPA	HGNC
SELL	HGNC
SPN	HGNC
KIT	HGNC
CARS	HGNC
CARS2	HGNC
ENO2	HGNC
IDS	HGNC
SHH	HGNC
MAVS	HGNC
ENDOU	HGNC
ECM1	HGNC
NPC1	HGNC
RAB7A	HGNC
BST2	HGNC
ERVK-5	HGNC
ERVK-6	HGNC
SERINC3	HGNC
SERINC5	HGNC
VAPB	HGNC
CDKN1B	HGNC
ZFYVE9	HGNC
ZNF593	HGNC
XRN2	HGNC
H3F3C	HGNC
SETD1A	HGNC
SUPT5H	HGNC
SMARCA2	HGNC
SMARCA4	HGNC
TOX4	HGNC
WDR82	HGNC
WDR83	HGNC
WDR89	HGNC
CPSF3	HGNC
NDE1	HGNC
PROC	HGNC
PRMT5	HGNC
PPP1R10	HGNC
PPP1R8	HGNC
PPP1R9B	HGNC
SPTLC2	HGNC
RB1	HGNC
METTL3	HGNC
AGBL1	HGNC
PSIP1	HGNC
OMP	HGNC
SPP1	HGNC
KRAS	HGNC
MUT	HGNC
SENP3	HGNC
PRSS3	HGNC
SPINT1	HGNC
SPINT2	HGNC
SPINT3	HGNC
ATP1A2	HGNC
RAPGEF6	HGNC
COQ3	HGNC
GABRA2	HGNC
GABRA5	HGNC
GABRB1	HGNC
GABRG1	HGNC
IGSF8	HGNC
KCNJ10	HGNC
PTPRR	HGNC
SLAMF1	HGNC
NKAIN3	HGNC
CAT	HGNC
MUC5AC	HGNC
CD151	HGNC
HLA-C	HGNC
HLA-DRB1	HGNC
F8	HGNC
RNASEH1	HGNC
RNASEH2A	HGNC
RNASEH2B	HGNC
RNASEH2C	HGNC
ANGPT1	HGNC
ACE	HGNC
EPCAM	HGNC
MOB1A	HGNC
IRF3	HGNC
SGMS1	HGNC
CP	HGNC
UNC50	HGNC
GAN	HGNC
HBG2	HGNC
CD247	HGNC
CR1	HGNC
MED25	HGNC
LARP1	HGNC
C19ORF66	HGNC
GADD45A	HGNC
GADD45B	HGNC
SEPT1	HGNC
GAL	HGNC
JAK1	HGNC
JAK2	HGNC
IL33	HGNC
CACNA1A	HGNC
CACNA1D	HGNC
DLX4	HGNC
CD82	HGNC
NPPB	HGNC
ABL1	HGNC
ABL2	HGNC
FOXJ1	HGNC
SCGB1A1	HGNC
ISL2	HGNC
LGR5	HGNC
BAX	HGNC
BCL2	HGNC
EEF2	HGNC
HMGB1	HGNC
HMGB2	HGNC
EZR	HGNC
ENPEP	HGNC
ATP2B3	HGNC
ESX1	HGNC
GATA1	HGNC
NBR1	HGNC
PIF1	HGNC
RAD21	HGNC
SUPT16H	HGNC
SPTY2D1	HGNC
UPF1	HGNC
AK2	HGNC
AMBP	HGNC
GBF1	HGNC
HCN2	HGNC
PADI4	HGNC
PFN3	HGNC
PCSK6	HGNC
SMC3	HGNC
SYN2	HGNC
TKT	HGNC
TRIM3	HGNC
UBE2I	HGNC
DDX58	HGNC
DHX9	HGNC
DMPK	HGNC
LIN28A	HGNC
MEX3B	HGNC
MIRLET7A1	HGNC
RC3H1	HGNC
RNF13	HGNC
SNORD1A	HGNC
TRIM21	HGNC
TRIM25	HGNC
TRIM27	HGNC
TRIM5	HGNC
TRIM56	HGNC
TRIM65	HGNC
TRIM71	HGNC
UBE2D3	HGNC
UBA1	HGNC
UBA7	HGNC
ZC3HAV1	HGNC
PROA	HGNC
TOP1	HGNC
MAK16	HGNC
NAA30	HGNC
NAA35	HGNC
NAA38	HGNC
NAA50	HGNC
PAK1IP1	HGNC
SKIV2L	HGNC
WDR61	HGNC
EXOSC4	HGNC
MAK	HGNC
ACHE	HGNC
ANG	HGNC
CSF2RA	HGNC
FSTL3	HGNC
GHR	HGNC
ITGA1	HGNC
IZUMO1	HGNC
LACTB	HGNC
MYL12A	HGNC
MYLPF	HGNC
MSTN	HGNC
PLAU	HGNC
PRLR	HGNC
BCL2L1	HGNC
TOP2B	HGNC
JUN	HGNC
SMAD3	HGNC
C11ORF74	HGNC
EIF3F	HGNC
XPO1	HGNC
GSK3B	HGNC
HNRNPA1	HGNC
IKBKB	HGNC
NR3C2	HGNC
PDPN	HGNC
RPL19	HGNC
SLC10A1	HGNC
SEC63	HGNC
VAPA	HGNC
YKT6	HGNC
APEX2	HGNC
BTF3	HGNC
CLINT1	HGNC
HCFC1	HGNC
KIF11	HGNC
NACA	HGNC
PSMC2	HGNC
PSMD1	HGNC
PSMB3	HGNC
RTN4	HGNC
RPL13A	HGNC
SCFD1	HGNC
SRP68	HGNC
SNX9	HGNC
STX5	HGNC
HM13	HGNC
IMMP1L	HGNC
IMPA1	HGNC
IGF2BP1	HGNC
DDB1	HGNC
ADAM17	HGNC
CD69	HGNC
ATF2	HGNC
IL13	HGNC
IL15	HGNC
IL17B	HGNC
IL18	HGNC
IL20	HGNC
KLRK1	HGNC
LTA	HGNC
MAPK14	HGNC
MAPK15	HGNC
MAPKAPK2	HGNC
NCR1	HGNC
NCR2	HGNC
STAT4	HGNC
STAT6	HGNC
ZNF479	HGNC
HFM1	HGNC
CHUK	HGNC
IRAK4	HGNC
MAPK1	HGNC
MAPK3	HGNC
MAPK9	HGNC
MYD88	HGNC
SIGLEC9	HGNC
TLR5	HGNC
TLR6	HGNC
TLR7	HGNC
TLR9	HGNC
SP8	HGNC
CHRM3	HGNC
FIGLA	HGNC
GRM1	HGNC
GRM5	HGNC
P2RY1	HGNC
P2RY11	HGNC
P2RY2	HGNC
P2RY4	HGNC
P2RY6	HGNC
NAT1	HGNC
SP2	HGNC
SP4	HGNC
PCK1	HGNC
PSAT1	HGNC
PGLS	HGNC
GNL1	HGNC
AZU1	HGNC
HTT	HGNC
PFN1	HGNC
CD28	HGNC
CD47	HGNC
ERBB2	HGNC
HAVCR2	HGNC
PDCD1	HGNC
GATA4	HGNC
HBA1	HGNC
HBA2	HGNC
HBB	HGNC
FER	HGNC
FLT3	HGNC
FLT3LG	HGNC
PLAT	HGNC
HSPA14	HGNC
HSPD1	HGNC
HLA-DPA1	HGNC
HLA-DRB3	HGNC
RPTOR	HGNC
STAT1	HGNC
EPYC	HGNC
VIM	HGNC
PER3	HGNC
CD163	HGNC
DBT	HGNC
GNPDA1	HGNC
DHX29	HGNC
FAT1	HGNC
SON	HGNC
EIF4EBP1	HGNC
PRKDC	HGNC
AKT1	HGNC
CLEC7A	HGNC
RAB11A	HGNC
RAB9A	HGNC
JMJD6	HGNC
CCND1	HGNC
FGFR2	HGNC
IGF1	HGNC
IGF1R	HGNC
RGS1	HGNC
STK11	HGNC
CASP7	HGNC
CYFIP2	HGNC
EMD	HGNC
MBP	HGNC
RELA	HGNC
ATG16L1	HGNC
ATG5	HGNC
PIK3C3	HGNC
RXRA	HGNC
VDR	HGNC
ANXA5	HGNC
ERVW-1	HGNC
PGPEP1	HGNC
HNRNPA2B1	HGNC
DGCR8	HGNC
E2F1	HGNC
GNAS	HGNC
KLF9	HGNC
SOX4	HGNC
ASF1B	HGNC
BRD2	HGNC
CYR61	HGNC
XPO5	HGNC
FTL	HGNC
GLUL	HGNC
PARN	HGNC
RSAD2	HGNC
RPL9	HGNC
TUT1	HGNC
ZCCHC11	HGNC
ZCCHC6	HGNC
CCL11	HGNC
CCL13	HGNC
CCL16	HGNC
CCL17	HGNC
CCL19	HGNC
CCL24	HGNC
CCL25	HGNC
CCL27	HGNC
CCL4	HGNC
CCL8	HGNC
CCR2	HGNC
CXCL12	HGNC
CXCL13	HGNC
CXCL14	HGNC
CXCL16	HGNC
CXCL17	HGNC
CX3CL1	HGNC
CD34	HGNC
CSF1	HGNC
ICAM1	HGNC
ICAM2	HGNC
ICAM4	HGNC
ICAM5	HGNC
IFNA14	HGNC
IFNA5	HGNC
IFNA6	HGNC
IFNE	HGNC
IL1A	HGNC
IL11	HGNC
IL16	HGNC
IL17D	HGNC
IL19	HGNC
IL27	HGNC
MADCAM1	HGNC
OSM	HGNC
PECAM1	HGNC
SELP	HGNC
SELPLG	HGNC
UBA6	HGNC
VCAM1	HGNC
CD86	HGNC
ANXA1	HGNC
CFP	HGNC
ESAM	HGNC
FERMT2	HGNC
FERMT3	HGNC
GAS6	HGNC
IAPP	HGNC
NPTN	HGNC
PRNP	HGNC
SFTPA1	HGNC
ZYX	HGNC
PLIN2	HGNC
CLEC4E	HGNC
CD55	HGNC
TIGIT	HGNC
COL12A1	HGNC
COL17A1	HGNC
GJA1	HGNC
LAMA3	HGNC
MAP4K2	HGNC
MPO	HGNC
DIS3L2	HGNC
LIMD1	HGNC
SOX15	HGNC
SOX9	HGNC
ISG15	HGNC
CANX	HGNC
PLP1	HGNC
CLEC4G	HGNC
CD209	HGNC
METAP1	HGNC
GOLGA3	HGNC
MYOM2	HGNC
CHAC1	HGNC
POLR2A	HGNC
XBP1	HGNC
EEF1A1	HGNC
EIF2B3	HGNC
GGCT	HGNC
HSPA5	HGNC
HERPUD1	HGNC
RPS21	HGNC
RPLP1	HGNC
AXL	HGNC
CLEC9A	HGNC
CD1C	HGNC
CD1D	HGNC
CD3D	HGNC
CD8A	HGNC
JUNB	HGNC
TRA	HGNC
CST7	HGNC
IFI27	HGNC
LEF1	HGNC
LTB	HGNC
SIGLEC6	HGNC
THBD	HGNC
ABCC11	HGNC
MAF	HGNC
ASPM	HGNC
ADGRV1	HGNC
CELSR1	HGNC
CNTNAP2	HGNC
DIP2C	HGNC
FAM102A	HGNC
FAM19A2	HGNC
FAM227A	HGNC
GLRA2	HGNC
HSF2	HGNC
IFT172	HGNC
LRRC8D	HGNC
MACF1	HGNC
OSBP2	HGNC
PCNT	HGNC
POMGNT1	HGNC
PTPRT	HGNC
PRTG	HGNC
SNX30	HGNC
STAB1	HGNC
TNC	HGNC
USP42	HGNC
ZMYND11	HGNC
STAT5A	HGNC
STAT5B	HGNC
F2RL1	HGNC
ADRB2	HGNC
ARRB1	HGNC
CFTR	HGNC
TGFB2	HGNC
TPSAB1	HGNC
TPSD1	HGNC
TPSG1	HGNC
TUBB	HGNC
FCER2	HGNC
ADORA2A	HGNC
DLK1	HGNC
DRD2	HGNC
IGHE	HGNC
ODR4	HGNC
BAK1	HGNC
CXCL5	HGNC
CFLAR	HGNC
CD40	HGNC
GNB4	HGNC
TRAF1	HGNC
VPS11	HGNC
CEACAM1	HGNC
CEACAM5	HGNC
CEACAM6	HGNC
CASP10	HGNC
CTSO	HGNC
CTSS	HGNC
CADM1	HGNC
ITGA2	HGNC
IL15RA	HGNC
IL2RG	HGNC
IL22RA1	HGNC
LAMA1	HGNC
PARP3	HGNC
PML	HGNC
SOCS1	HGNC
SOCS3	HGNC
TMEM173	HGNC
